50,밥류,류산슬덮밥(전라도),550,528,58.7,24.51,21.43,0.4,1569.82,103.57,4.37,0.15,2011
51,밥류,류산슬덮밥(충청도),550,616,82.95,27.46,19.11,0,1295.93,122.49,2.82,0.13,2011
52,밥류,멍게비빔밥(거제),400,547.21,90.67,16.57,13.14,16.69,1144.8,21.9,2.42,0.08,2016
53,밥류,멸치주먹밥,150,312.43,54.33,9.04,6.55,0.9,496.21,42.45,1.05,0.03,2013
54,밥류,묵밥(영주),950,642.16,128.55,14.76,7.66,15.08,2075.5,42.65,1.5,0,2016
55,밥류,문어초밥,250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0,2012
56,밥류,문어초밥(강원도),250,375,78.43,13.62,0.86,9.82,1117.45,61.64,0.32,0,2012
57,밥류,문어초밥(경기도),250,375,77.57,14.14,0.95,15.11,1243.6,66.78,0.35,0,2012
58,밥류,문어초밥(경상도),250,380,79.71,14.61,0.4,14.29,1133.31,89.19,0.28,0,2012
59,밥류,문어초밥(서울),250,362.5,70.11,18.51,0.92,9.24,1176.03,70.6,0.36,0,2012
60,밥류,문어초밥(전라도),250,440,94.63,13.48,0.94,18.51,1240.94,76.94,0.39,0,2012
61,밥류,문어초밥(충청도),250,417.5,90.21,13.33,0.37,13.32,1293.85,55.33,0.38,0,2012
62,밥류,볶음밥,400,773.3,112.68,18.79,27.5,0.86,1203.19,161.18,12.79,0.29,2009
63,밥류,볶음밥(강원도),400,852,115.84,21.45,33.46,1.88,1083.6,160.79,17.41,0.4,2009
64,밥류,볶음밥(경기도),400,600,72.86,15.9,27.29,0.11,1060.64,187.79,6.51,0.06,2009
65,밥류,볶음밥(경상도),400,812,132.69,16.38,24.03,0.72,1091.53,138.26,15.01,0.24,2009
66,밥류,볶음밥(서울),400,640,101.28,20.5,17.18,2.42,1215.34,126.36,5.1,0.18,2009
67,밥류,볶음밥(전라도),400,888,126.64,19.68,33.54,0,1256.63,172.14,20.78,0.55,2009
68,밥류,볶음밥(충청도),400,848,126.74,18.81,29.47,0.01,1511.37,181.74,11.92,0.34,2009
69,밥류,불고기덮밥,500,669.3,102.35,28.62,16.16,4.39,1499.14,66.5,4.57,0.45,2010
70,밥류,불고기덮밥(강원도),500,680,95.92,27.26,20.77,8.05,1529.58,68.6,4.96,0.51,2010
71,밥류,불고기덮밥(경기도),500,675,108.98,27.97,14.06,1.38,1540.48,58.19,4.36,0.47,2010
72,밥류,불고기덮밥(경상도),500,655,106.48,26.67,13.52,2.89,1531.82,60.41,4.92,0.5,2010
73,밥류,불고기덮밥(서울),500,640,74.16,38.41,21.23,5.11,1555.92,96.21,5.24,0.55,2010
74,밥류,불고기덮밥(전라도),500,700,118.82,20.58,15.7,3.37,1354.92,47.7,3.64,0.23,2010
75,밥류,불고기덮밥(충청도),500,665,109.75,30.85,11.66,5.55,1482.11,67.9,4.3,0.42,2010
76,밥류,비빔밥,500,706.62,114.83,19.92,18.62,25.66,1337.1,111.13,3.85,0.12,2009
77,밥류,비빔밥(강원도),500,850,94.89,22.59,42.27,17.28,1341.24,86.93,6.47,0.11,2009
78,밥류,비빔밥(경기도),500,635,122.28,19.14,7.95,35.87,1524.65,126.99,2.69,0.12,2009
79,밥류,비빔밥(경상도),500,695,109.9,18,20.24,17.27,1280.99,130.21,4.31,0.09,2009
80,밥류,비빔밥(서울),500,670,116.56,21.35,13.23,22.01,1302.77,126.53,3.07,0.12,2009
81,밥류,비빔밥(전라도),500,685,123.08,21.09,11.9,18.81,1418.54,111.93,2.65,0.08,2009
82,밥류,비빔밥(전주),450,691.62,98.73,24.6,22.03,18.29,1119.65,95.42,3.9,0.12,2016
83,밥류,비빔밥(충청도),500,705,122.26,17.35,16.16,42.69,1154.45,84.19,3.89,0.18,2009
84,밥류,삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15,2011
85,밥류,삼선볶음밥(강원도),400,676,84.72,27.46,25.36,0.74,1470.1,347.09,8.86,0.24,2011
86,밥류,삼선볶음밥(경기도),400,568,77.76,21.97,18.64,5.49,1419.04,314.42,5.71,0.17,2011
87,밥류,삼선볶음밥(경상도),400,724,93.44,27.78,26.41,0.62,1214.14,307.3,5.68,0.16,2011
88,밥류,삼선볶음밥(서울),400,708,90.74,24.49,27.48,0.82,917.94,320.13,6.44,0.04,2011
89,밥류,삼선볶음밥(전라도),400,716,77.83,28.65,32.24,1.81,983.47,313.9,5.23,0.14,2011
90,밥류,삼선볶음밥(충청도),400,728,90.03,27.06,28.64,0,1276.7,356.29,6.07,0.17,2011
91,밥류,새싹 비빔밥,251,264.53,50.53,8.73,5.35,0,317.62,0,0,0,2008
92,밥류,새우볶음밥,400,700.02,112.86,17.92,19.66,1.2,1395.06,149.36,3.96,0.07,2010
93,밥류,새우볶음밥(강원도),400,708,121.17,16.85,17.45,1.38,1225.07,125.72,4.42,0.07,2010
94,밥류,새우볶음밥(경기도),400,676,109.86,17.91,18.22,0.77,1335.17,134.23,3.59,0.09,2010
95,밥류,새우볶음밥(경상도),400,648,102.3,19.14,18,2.97,1542.69,218.65,4.89,0,2010
96,밥류,새우볶음밥(서울),400,752,113.46,18.4,24.92,0.42,1194.54,138.43,4.11,0.14,2010
97,밥류,새우볶음밥(전라도),400,680,100.73,19.17,22.1,1.07,1439.99,153.67,3.9,0.1,2010
98,밥류,새우볶음밥(충청도),400,736,129.62,16.04,17.25,0.58,1632.93,125.44,2.84,0,2010
99,밥류,새우초밥,250,387.67,78.42,16.81,0.75,11.65,1110.29,72.64,0.55,0.01,2012
100,밥류,새우초밥(강원도),250,382.5,77.51,17.22,0.41,7.88,1023.21,75.85,0.31,0,2012
101,밥류,새우초밥(경기도),250,390,78.15,16.36,1.3,14.85,1213.13,69.45,0.34,0,2012
102,밥류,새우초밥(경상도),250,405,85.46,14.89,0.28,10.98,1009.28,62.66,0.36,0,2012
103,밥류,새우초밥(서울),250,372.5,72.77,19.27,0.46,8.83,1101.48,76.47,1.45,0.04,2012
